texto,etiqueta
El partido de hoy entre #Argentina y #México terminó con un resultado de 2-1 a favor de los argentinos.,neutral
"nadie habla de Muñoz ,pero que partidazo también jugó Muñoz ,una fiera.",positivo
¡Desastre! El @SeleçãoBrasileña no puede creer que perdieron con @Argentina en el último minuto 🤯 #Mundial2026 #Fútbol,negativo
"Cual cantante del gol, denme siempre a Eduardo Luis.",positivo
¡Qué vergüenza! El árbitro vendido nos pilló el gol de Messi 😡 #Argentina,negativo
El centrocampista de Rodri tuvo un 70% de participaciones en el partido vs Dinamarca,neutral
"Una cochinada fue Perú en esta copa América, lo dice un peruano",negativo
Ese Bono es un gran portero!,positivo
"El equipo de Francia tiene un ataque muy poderoso, con Mbappé al frente",neutral
"Le ganamos a Brasil,  Alemania,  España y ahora a Argentina,  si seguimos así en el Mundial daremos la sorpresa 😊😊😊",positivo
¡Qué vergüenza el árbitro vendido en el partido entre México y Croacia! ¡Rojo a ese bribón!,negativo
"Saludos desde Colombia 🇨🇴 , algun día quiero verla feliz a esta señorita  no merece sufrir de esa manera ,",positivo
Venezuela Sorprendio a todo mundo ❤ y la subestimaron diciendo no es re fácil y salió el tiro por la culata. Bella mi Venezuela 🇻🇪,positivo
"La evolución del club de la ironía.
De ver qué a Colombia le metan 6 a ver qué Colombia meta 6",negativo
El entrenador de la selección de Uruguay ha cambiado de estrategia y pasó de un 4-2-3-1 a un 4-3-3 en el partido.,neutral
Valió la pena el sufrimiento Ganamos al final Te amo mi selección Colombia Luchito Dios te bendiga celebro la libertad de su padre y la victoria de colombia🎉🙏🇨🇴⚽⚽⚽❤❤❤❤❤❤❤❤Felicidades muchachos si se pudo💪😀Que alegría,positivo
"El partido de España vs. Alemania terminó 2-2, con un empate en los últimos minutos",neutral
"El atacante de España, Morata, ha estado invisible en el partido, con solo 2 tiros al arco",neutral
Que ironía el patético gano al mejor de sudamérica que le gano al mejor de Europa y aun asi quedo eliminado como siempre .,negativo
Te tardaste en subir😂,negativo
Y los audios del VAR en la final para cuando?,negativo
Video histórico,positivo
"James muy bien; Lucho excelente y el equipo, equipazo. Todos muy bien muchachos. Gracias James 🎉",positivo
"Increíble que Colombia en cada partido era local, cada estadio se pintó de Amarillo",positivo
Great video! Really enjoyed it.,neutral
La falta de cohesión en la defensa de #Ghana en el partido contra #Cameroon permitió al equipo camerunés anotar.,neutral
Hp Eduardo es un hincha más me vi el partido por RCN por usted Eduardo lo mejorme encanta como narra los.partidos con esa pasión muchas gracias Eduardo gracias RCN por darle la oportunidad,positivo
El desastre de la selección de Argentina se repitió en el partido contra Francia.,negativo
"tu silencio al final, expreso mucho mas que cualquier comentario de muchos narradores deportivos en venezuela..",positivo
Increible que Luis Enrique le haya atinado a lo que dijo hace unos meses que sin mbappe serían un mucho mejor equipo 🥴,negativo
lo que unio a todos fue la eliminacion de mexico facto,negativo
Vine hasta aqui solamente para ver el error de lucumi y no lo mostraron....😢,negativo
Ese partido fue ver una selección  de playstation recontra editada con todos sus jugadores en 99 jajaja terrible el baile,negativo
"Primera reaccion honesta,te felicito,la proxima eliminatoria ojala lo logren..llevene a Dudamel como DT",positivo
"El entrenador de la selección inglesa, Gareth Southgate, ha utilizado un sistema de 4-2-3-1 en 7 de los 8 partidos del Mundial",neutral
Que narrador Eduardo Luiz el mejor lejos de Colombia lastima el comentarista carlos António que señor tan desagradable,positivo
Que orgullo de ser colombiana,positivo
Lautaro Martínez ha anotado en 5 partidos consecutivos,neutral
"El equipo de Argentina ha tenido un promedio de 2,5 goles por partido en el Mundial",neutral
"Felicidades Eduardo Luis, eres un narrador que transmite y contagias una emoción que pocos en tu ámbito lo hacen 
Deberían dejarte un partido de la selección cada fecha FIFA 
Porque te lo has ganado con puro corazón",positivo
literalmente UN PASEO,positivo
"di pertandingan melawan urugay ,argentina tidak berkutik dan harus kalah❤.",positivo
¡Qué árbitro! La selección de México fue eliminada por un error arbitral 😡 #MEXvsBRA #FIFA,negativo
Saludos desde Casanare Colombia.🤝🤝🤝 bien por esa reacción,positivo
"El mediocampista de la selección de Portugal, Bruno Fernandes, ha estado destacado en el partido, con 2 asistencias y 1 gol",neutral
¿Cuántos errores de jugada comete el PSG en un solo partido? Es vergüenza para la liga francesa,negativo
Lucho diaz la unica carta de gol de colombia,negativo
Porque chile no marcó gol 😒,negativo
"el psg se dejo ganar para expulsar al atm, luis enrique es mas listo de lo que muchos piensan",negativo
¡Estafa! El VAR no funcionó y nos quitaron el gol,negativo
Argentina ha ganado 5 partidos seguidos en el Mundial FIFA 2025-2026,neutral
El ataque de España fue más eficaz en los últimos 15 minutos del partido.,neutral
"Eduardo Luis le da otra emoción a estos partidos , nada en contra del cantante pero Eduardo le mete corazón",neutral
La cara de Gerald al ver que eliminó a Venezuela al colocarse la camiseta 😅😅😅,positivo
Me gusto mucho la narración. Para mi este es mejor medio para ver fútbol.,positivo
Se nota que los comentaristas era argentinos,negativo
"Que noche tan magica... Que hermoso es el futbol. Te amo, Colombiaaaa",positivo
El jugador de la selección de Francia ha logrado 2 asistencias en los últimos 3 partidos del mundial.,neutral
La narración del primer gol es lo mejor h#$@&#& golazo!!!!,positivo
"El atacante de España, Suárez, ha anotado 3 goles en 2 partidos, con un promedio de 1,5 goles por partido.",neutral
¡Incredibles! La selección de Colombia es cada vez mejor y tiene un gran futuro,positivo
Olé olé olé argentinalloron olé olé olé argentinalloron 😭😭😭😭😭 Vamos Colombia ❤❤❤❤🇨🇴🇨🇴🆒🆒,negativo
Vamos Colombia a ganar con toda 🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴,positivo
El equipo de España tuvo muchos problemas para marcar al portero de Portugal.,neutral
"El partido terminó 0-0, el empate fue el resultado más probable.",neutral
gente vengo del futuro no me van a creer? el PSG es bicampeón de europa y golea al arsenal,negativo
Argentina rey de mundo,positivo
El estilo de juego del equipo de Suecia es muy defensivo y tiene problemas para crear juego.,neutral
Que excelente video,positivo
Una verdadera narración 👏🏻👏🏻👏🏻,positivo
Manes tan raros. Todo lo hacen al revés,negativo
ver los comentarios en el chat antes del gol y ver como Lucho y James les callaron la boca. 🤣😂,positivo
Bien Colombia su cachetada a la Cenicienta eterna... ❤❤❤❤❤❤,positivo
La distancia media entre los jugadores del @FCBayern fue de 11 metros en el partido,neutral
Me estaba acostumbrando de ver finales 1-0 o 2-0 hasta ahora que veo 5-0 🤯,neutral
"Minuto 13:09 Este periodista argentino, tiene toda la razón.",neutral
😂😂😂😂😂 🎉 que buena notícia para iniciar el dia.,positivo
El equipo de Alemania ha tenido un 60% de posesión de pelota en el primer tiempo.,neutral
"Qué lindo jugar contra Brasil y ganarles!! 
Yo le pongo fichas, Argentina Campeón 2026!!! 
Anula mufa, elijo creer!!!",positivo
Qué emoción escuchar a Eduardo Luis narrar con ese sentimiento!!! 🎉🎉🎉🎉🎉Un orgullo ser colombiano,positivo
Cuando botaran a Simeone del Atlético??,negativo
Se pudo haberles ganado a los argentinos 🇦🇷 pero no se pudo como siempre ♾️🇨🇴✌️,negativo
El defensa de Francia tuvo un promedio de 5 intercepciones por partido en el Mundial.,neutral
¡Partidazo de Colombia contra Inglaterra! Los cafeteros se quedaron con un gran resultado,positivo
¿Qué es lo que sucede con el sistema defensivo de @GarethSouthgate? ¡Ese no es un gol a @Harry Kane! El resultado es horrible.,negativo
La defensa de Argentina es muy débil en contraataques,neutral
¡Qué injusto! El árbitro no marca un penal claro a Argentina en el partido contra Francia,negativo
Colombia no es solo Luis día porque James aún sin equipo es el alma y cuerpo de la selección Colombia digan lo que digan Luiz día le falta mucho para ser como James,positivo
El día de la quema es cuando se ve el humo ⚽💪 Colombia ganará DIOS MEDIANTE,positivo
"Excelente el árbitro, por pitar el penal, an habido unos más claro que no lo pitan",negativo
La selección de España tuvo 10 faltas en el partido contra Alemania.,neutral
"Al contrario, a Colombia le tocó contra Portugal 🤦🏻‍♀️",neutral
Cuando saquen a Richard ríos Colombia ganara algo,negativo
El partido entre Uruguay y Japón terminó 2-0. Los uruguayos demostraron su potencial y se llevaron la victoria.,neutral
Me encanta tus videos puedes hacer un video del resumen de la eurocopa 2024 por favor 😊❤,positivo
"Sin vistas, 1 minuto

Canal en decadencia.",negativo
Quedar eliminado con 6 puntos de 9 posibles 😂😂😂 solo al Atletico de madrid le pasan esas cosas,negativo
¿Cómo puede un árbitro ser tan injusto? ¡Fue un gol anulado a Neymar sin motivo! Brasil eliminada 🤯,negativo
Ecuador mejor que colombia.,negativo
El equipo de México mantuvo una defensa compacta con 5 jugadores en la línea de defensa,neutral
Que golazo del 10,neutral
El partido entre Alemania y Francia se decidió en los últimos minutos,neutral
"A Brandon lo ponen a voltear más que teibolera en tubo, déjenlo ver el partido",negativo
"estranho como nao jogou nada Luis dias ou james na final, nao acham??? Messi pipocou.....di maria chorou...tava muito combinado!!!! Mr dias e colombia se calaram com a propina.....opis tinham muuuuito mais futebol......festejem bastante cantando sobre cor de raça....aie, va mal lo foot....comebola",negativo
"La estatura media de los jugadores de Bélgica es de 1,83 metros, lo que los colocan entre los equipos más altos del torneo.",neutral
El entrenador de Brasil decidió no hacer cambios en la alineación inicial,neutral
Lucho Díaz está por encima de cualquier jugador sur americano,negativo
Hp golazo...así de cierto fué. Gracias Lucho...gracias Colombia.,positivo
¡Desastre total! La goleada de Alemania contra Chile es inexcusable 🚫 #Chile #Alemania,negativo
El partido entre Argentina y Alemania terminó 2-1 a favor de los alemanes. La anotación de Messi no fue suficiente para cambiar el resultado.,neutral
La selección alemán ha ganado su último 4 partidos en el Mundial.,neutral
El entrenador de la selección de Bélgica ha cambiado de estrategia y pasó de un 4-2-3-1 a un 4-3-3 en el partido.,neutral
El partido entre Argentina y Alemania fue un desastre para la selección argentina. #ARG #GER #FIFA22,negativo
El narrador es argentino como celebra los goles de argentina,positivo
El mediocampista de la selección de España tuvo un total de 4 asistencias en el partido.,neutral
¡Qué partido de partido! La selección de Colombia jugó con corazón y mereció la victoria,positivo
"El mediocampista de Brasil, Casemiro, ha asistido en 3 de sus últimos 5 partidos.",neutral
Jajaj modo silencio para los comentaristas colombianos,negativo
La defensa de Brasil permitió 1 gol en el partido vs Serbia,neutral
No puedo creer que Colombia fuera eliminada en la fase de grupos. ¡Era un equipo muy fuerte!,negativo
El portero de Argentina realizó 12 lanzamientos a gol en el partido,neutral
Donde está el VAR de Colombia vs Argentina?,negativo
"Eliminatorias al mundial de 2022 otra vez, buena Copa América, descenso monumental en eliminatorias. DUERMAN A COLOMBIA 🗣🗣",negativo
Qué horrible la derrota de México en la semifinal 🤕,negativo
"Lo que juega Kvaratskhelia. Independientemente que las termine bien o mal. Es de los jugadores que quiero en mi equipo siempre. Rápido, atlético, gambeteador, sin miedo al 1v1 o a pegarle si hace falta. Impecable.",positivo
La falta de precisión en los tiros libres de #Colombia afectó su capacidad para anotar en el partido contra #Bélgica.,neutral
Mis respetos a James. Que buen partido el de mi selección Colombia ❤💥,positivo
¡Qué partidazo! El gol de Ronaldo en la primera mitad fue increíble 😲,positivo
"Figal se hizo echar y se fue a ver cn los displi
0:27",negativo
"El centrocampista de Portugal, Bernardo Silva, realizó 8 pases precisos en el partido.",neutral
El de Venezuela cantando los de Colombia,positivo
"Colombia en los ultimos minutos es q se la deja hacer, como en la copa america. En los ultimos minutos tambien se dejaron hacer gol.
Hay q sostener hasta el final firmes",positivo
La única venezolana con verdadero criterio,negativo
"La defensa de Argentina es sólida, pero el ataque no funciona. ¿Qué necesita mejorar?",neutral
Esto es un desastre. No podemos creer que nos eliminaron así,negativo
"Muy cierto, Venezuela no merecía ir al mundial",negativo
que cancha mufa por dio,negativo
"El gol de Messi fue el mejor del partido, pero no pudieron ganar 🤩",positivo
"🎉🎉🎉🎉🎉🎉🎉🎉 El segundo tiempo lo escuche en  RCN con el sentimiento de que   podía ser un buen tiempo para Colombia, gracias Selección, gracias RCN 🟡🔵🔴🎉🎉🎉🎉🎉🎉🎉✨✨✨✨✨✨",positivo
"El #Mundial es un torneo de equipo. #Brasil y #Alemania son los mejores, y eso no se discute",neutral
La falta de cohesión en la defensa de #Senegal en el partido contra #Bélgica permitió al equipo belga anotar.,neutral
Ééésssoooo cooolooommbia ❤❤❤,positivo
🎉❤ Mi Colombia 😊,positivo
Te amo mi Colombia 🇨🇴,positivo
Dicen que Carlos Antonio Velez todavía sigue solicitando el cambio de Díaz.,negativo
"Simplemente hermoso el partido, estos partidos son los que te hacen amar este deporte y te dan fé al momento de alentar tu club, Al hilad acabo con uno de los maximos candidatos a ganar el torneo siendo menos.",positivo
"Excelente la colaboración con loquillo, el club de la ironía creciendo.",positivo
Por que quitaron la parte donde marchesin pierde la pelota? En las primeras vistas si estaba ahora que lo vuelvo a ver ya no está,negativo
"El partido entre España y Alemania fue un duelo muy emocionante, con goles para ambos equipos. En el minuto 90, España ganó 3-2",neutral
"Perder 2 finales es muy doloroso, pero más doloroso es ser Méxicano.
- El Inter.",negativo
Gracias a Venezuela la selección de Colombia resolvió el problema de falta de gol gracias Venezuela si no fuera por ti Luis Suárez no hubiera tenido su oportunidad,negativo
"Tranquilo chamo, clasificarán para el mundial VENEZUELA 2066, ánimo🎉",positivo
El gol de Salah en el partido contra Argentina fue un cabezazo bien colocado,neutral
"Que siga narrando el toxirelator! 

Psdt: si quieren posicionarse como el primer canal en trasmitir a la selección, el calvo velez tiene que dejar tanto odio al eqiupo, si no apague y vamonos.",negativo
riquelmate contra el Bayern: va a ser una humillada divertida,negativo
¡Qué injusto! La victoria de Portugal sobre Uruguay es injusta para la selección del sur 🤕 #Uruguay,negativo
"Eduardo Luis es un narrador de verdad y con grosería diciendo hp golazo.
Qué Indignación y vergüenza, 😂😂😂😮😅 Somos Colombia Este es mi país de nuestra amada nación.",negativo
El técnico de Francia cambió la formación a un 4-2-3-1 en el segundo tiempo.,neutral
¡Increíble partido de la selección de Brasil! ¡Ganaron 4-2 con goles de Neymar y Silva!,positivo
"Por un momento pense que estaba viendo un partido de Ligue 1, que locura lo de este PSG",negativo
"Como se tardan en subir este vídeo siempre, ¿creen que tenemos toda la vida para esperar ?",negativo
"El juego de la selección española ha sido emocionante, con 3 goles en sus últimos 2 partidos",neutral
La selección de Suiza ha tenido un promedio de 2 goles anotados por partido en el Mundial,neutral
Me puse a mirar el video de vuelta y cortaron la parte donde marchesin hace el corner y mati lo putea jajajaja,negativo
"Eduardo Luis narra los partidos de la selección con un sentimiento inmenso, literal nos vemos reflejados en el",positivo
Es normal que repita y repita las partes de los goles de Lucho en este video? Jajaja me encanta❤,positivo
Hay que felicitar a Miguel Angel Ruso de los mejores dt del fulbo argentino reviviendo muertos siempre es algo de locos,positivo
"veo esto y me dan ganas de llorar 
cococo",negativo
"Espere 70
Años por este momento y Dios me concedió esta gran Alegría!!! Gracias Colombia!!! Gracias Luchó!!!",negativo
Qué daño le han hecho las redes sociales a la humildad del futbolista brasilero,negativo
Y viendo q pessi no es importante en la cancha jejejeje,positivo
El equipo de Brasil tuvo 2 ocasiones de gol más que el equipo de Alemania en el partido.,neutral
La falta de experiencia en partidos importantes de los jugadores de Australia ha sido un tema de debate en este torneo.,neutral
Ini tanpa messi loh😂,positivo
Grande mi selección.Siempre los he apoyado con mis buenas energia en las buenas y en las malas esta es la colombia que saco toda su gerarquia gerarquia los amo,positivo
Que troncazo duda Dominguez no se porque lo pusieron de titular en la Copa America teniendo a Galindez,negativo
"El @ManchesterCity realizó 23 disparos al arco en el partido, mientras que el @Liverpool hizo 17",neutral
Que feliz de ver ardido al dibu❤,negativo
De ahora en adelante lo veré en RCN q narración tan espectacular,negativo
El portero de Alemania realizó 7 atajadas en el partido,neutral
"El defensa de Australia, Socceroos, ganó 5 duelos aéreos durante el partido.",neutral
El campeon de la champions le ganó al sin champions pero el campeón de la champions perdió contra el campeón de la Libertadores y el campeón de la Libertadores perdió contra el sin champions 😮‍💨,neutral
Muy buen resumen hermano,positivo
"No lo hacemos para provocar  siempre celebramos los goles así, ya que la señora lo sintió es problema de ella, a los venezolanos les envío fuerza a la señora le digo , el vivo al baile el muerto al hoyo ,quien lo baila es quien lo goza.",positivo
Grande bono esta entre los mejores 5 arqueros actuales del mundo. Ultra infravalorado.,positivo
¡Golazo de Messi en el partido final! Argentina campeones 🔥,positivo
Que buen partido felicidades para luchó y esa izquierda de James,positivo
te amo colombia ❤ que gran triunfo lucharon hasta el final 💯 luis diaz merecido papa❤,positivo
"El jugador de Francia, Kylian Mbappé, anotó su tercer gol del torneo.",neutral
13:33 que golazo que era,positivo
¿Cómo puede un equipo de la talla del Real Madrid perder 2-1 contra un equipo de Costa Rica? ¡Es un desastre! 😱,negativo
Ay más alegría en un entierro que en este vídeo,negativo
¡Qué desastre! El equipo de Uruguay no pudo con el fuerte ataque de Canadá en el Mundial 🤯 #FIFAWorldCup,negativo
"¡Qué partidoazo! El crack de Brasil, Neymar, marcó dos goles, ¡qué show!",positivo
La derrota de Argentina se debió a la falta de una estrella que marcará en el partido,neutral
La derrota de México contra Alemania es una vergüenza,negativo
"Yo estaba cansado de empates, pero cuando ibamos perdiendo dije: ""Bueno, dale, con un empate me conformo"" pero nunca imaginé que ganaríamos y mucho menos de esta manera; con 2 goles de Luchito!! después de todo lo que pasó la vida lo premió, un partido de novela.",positivo
"Camino de 🇨🇴 Colombia en 2024:
J1: 🇨🇴 2-1 🇵🇾
J2: 🇨🇴 3-0 🇨🇷
J3: 🇨🇴 1-1 🇧🇷
Cuartos: 🇨🇴 5-0 🇵🇦
Semifinal: 🇨🇴 1-0 🇺🇾
Final: 🇨🇴 0-1 🇦🇷

Subcampeón 2024",neutral
Quien en 2026,negativo
"El mediocampista de Ghana, Ayew, completó 85% de sus pases durante el partido.",neutral
El partido entre Brasil y Inglaterra fue muy intenso. La defensa brasileña tuvo que hacer un gran esfuerzo para evitar el gol en el minuto 90,neutral
Al fin se le ganó a Argentina al fin carajooo 😊😊😊😊😊,positivo
"El equipo de Egipto realizó 20 disparos al arco durante el partido, pero solo 4 fueron a puerta.",neutral
"#RobertLewandowski es un crack, pero #Polonia no va a pasar de primera fase. ¡Desastre!",negativo
"El @FCBarcelona realizó 18 asistencias en el partido, mientras que el @RealMadrid hizo 14",neutral
El atacante de Argentina anotó su 15o gol en la competición,neutral
Lo vi en el colegio que experiencia tan buena,neutral
¡Qué crack es Lionel Messi! Marcó 3 goles en el partido y llevó a Argentina a la final. ¡Es increíble! 🤩,positivo
El partido entre Francia y Argentina fue injusto. La selección francesa no mereció la victoria,negativo
"Dios mío golazo de Luis Díaz, no se arruga, uno de los mejores futbolistas del mundo y es colombiano. Y aquí todavía adorando a trotón James",positivo
Y los audios del VAR?,negativo
"Lo mismo paso en la euro 2024
Austria 3-2 Paises bajos
Turquía 2-1 Austria
Paisea bajos 2-1 Turquía",neutral
¡Golazo de #Messi en el partido entre #Argentina y #Alemania! ¡Ese sí fue un golazo!,positivo
Mal mate y agua 😂😂🤢🤮😷🫩,negativo
Brasil tiene un 70% de eficiencia en tiros al arco en los últimos 5 partidos,neutral
"El partido de Brasil vs. Alemania terminó 1-0, con un gol en el último minuto",neutral
Esoo vamos mi colombiaa ❤❤,positivo
El portero de la selección de Alemania tuvo que realizar 5 paradas en los primeros 30 minutos.,neutral
"1:00 La carita de Doha ""saquenme de aca, no aguanto mas este frio""  2:02 Se liberó Doha....",positivo
"La selección de España ha tenido un total de 15 tiros a puerta en el Mundial, con un 47% de efectividad",neutral
ajaj muy gracioso,neutral
pta madre we 😔(colombiano),negativo
Se rieron de mi comandante cuando dijo que los equipos arabes le podian competir a los europeos..,negativo
El partido entre Argentina y Francia fue un desastre. El equipo no pudo contener a Mbappé.,negativo
"El equipo de Inglaterra ha tenido una media de 45,1% de posesión del balón en cada partido.",neutral
La experiencia del entrenador de #Alemania en partidos internacionales se reflejó en su estrategia de juego.,neutral
Saludos desde Brasil. 🇧🇷.,neutral
TRAVESAÑOOOOO!!!! 🤣🤣🤣🤣🤣,negativo
Soy niño colombia🇨🇴 🤝 🇧🇴,positivo
"Davo Xeneize: ""El atletico va a llegar lejos en este mundial de clubes""",positivo
Me siento orgulloso siempre 🇨🇴✨ de mi selección siempre con fe,positivo
"DavooXeneize vía Kick: ""estaba muy claro qué equipo saldría campeón luego de que el PSG metiera el quinto gol"".",negativo
LA REACCION QUE TODOS ESPERABAMOS,positivo
"Eso eso nunca se chingan los rivales, todos los rivales son fuertes",negativo
se viene él 5-0 allá en buenos aires jajaasjsaj,negativo
Bono es un seguro de vida en todos los partidos.gano bono al city es la inmensa verdad.grande bobo grande al hilal,negativo
Septiembre de 2025... Viendo este resumen porque quise nuevamente recordar uno de los mejores partidos de fútbol de la historia (para mí y que yo he vistoen vivo),neutral
"El equipo de Inglaterra ha tenido un promedio de 2,2 goles por partido en el Mundial",neutral
"El portero alemán realizó 5 salvamentos en el partido, lo que fue clave para su victoria.",neutral
"4:42 Quien diría que mas de un año después nos comeríamos 5 contra los Estados Unidos, que bajo cayo Uruguay",neutral
