texto,etiqueta
8:22 DIJERON LO MISMO QUE YO JAJAJAJJA,positivo
"Está muy lindo esta mundial loko , estaremos en un momento histórico  del nacimiento de un nuevo campeonato de mundo y estas los dos más grandes de argentina. A mi parecer si vamos Sudamérica eduqueee . ❤",positivo
"*Lo callado del principio y el miedo notorio de Facu al final, con su suspiro de tranquilidad diciendo ""No ganaron eh""*",negativo
Como se siente cuando un grito de gol es genuino jajaj...,positivo
Me gusta que mati siempre es el mas objetivo de todos,positivo
Espectacular reaccion!,positivo
"De los 4 integrantes de los displicentes, mati es el mas maduro y serio jsjs ❤",positivo
Lo peor es que a los que aplaude al principio son los que se lo empatan🤣🤣,negativo
Más rápido el video que la salida de Figal 😂,positivo
LA REACCION QUE TODOS ESPERABAMOS,positivo
Creo que es la 1era vez que escucho a facu valorar la entrega de boca. Crack facu,positivo
"""Un empate en el debut del mundial de Clubes vale mas que 7 Libertadores"".

Juan Roman Polentelme.",negativo
Hay que felicitar a Miguel Angel Ruso de los mejores dt del fulbo argentino reviviendo muertos siempre es algo de locos,positivo
Siempre esperando la reacción de los displi,positivo
Que lindo verlos festejar y al final siempre terminan igual 😂,positivo
El “No ganaron” final lo dice como un alivio jajajajajaj,negativo
Primera épica reacción.,positivo
"-Jajaja
-De que te ríes?
-Casi te gano",positivo
Estuve esperando esto 😂😂😂😂,positivo
"que pasó con ""Sho la pongo toda""???",negativo
Primero felicidades por los 2 equipos espero que le vayan re bien en el mundial de clubes y conseguir más hinchas en otro club de un país  y los felicito los displicentes por hacer el mundialito de clubes y felicitaciones el campeón del mundialito de clubes,positivo
como grita bigote jajajajajajajajjajaaj,positivo
😂😂😂😂contra el oklan gol del profe de religión 😂😂😂no se pude ser mas chiquito,positivo
Una grata sorpresa verlo tan pronto ❤❤❤,positivo
Increíble figal mientras salía también se gritaba desde el sillón de la displicueva...,positivo
"Figal: ""mi mision era hacer el partido divertido""",positivo
El hobbit bostero invitado está más sobreactuado que Echarri,negativo
Cuidense de las placas muchachos!!,neutral
aajaajaja el que llego con el traje entendio todo 😂,positivo
"""Sanches con S encima, aprendé a escribir"" jajajaj",negativo
"Figal se hizo echar y se fue a ver cn los displi
0:27",negativo
Soy de Palmeiras y apoyaré todos los clubes de Sudamerica en esta Copa del Mundo. ¡Aguante Sudamerica!,positivo
"BANCO LAS REACCIONES A ESTA HORA, MATI LCDTM POR FIN GRACIAS TE AMO",negativo
Facu sos un crack jajajajaj un cago de risa 😂,positivo
"Que festejo pegaron eh 😂, hace tiempo no los veía festejar así con boca",positivo
nose si son más rápidos ellos para subir el video o Ander Herrera para lesionarse,negativo
"3:19 gol de merentiel    
El beast",neutral
No puede ser más linda la camiseta nueva de boca..,positivo
Aún no puedo creer lo que hizo Marchesin,positivo
"Sou brasileiro, mas Boca e River com certeza são os 2 maiores times da américa. 2 timaços mundiais!",positivo
increíble como se instaló que pidió perdón el fideo y el chabon estaba saludando a la familia 😂,positivo
Anda facu sos un decendido total hoy le hacen 3 goles,negativo
"Figal: ""Lo importante es divertirse""",neutral
"Facu: no ganaron , no ganaron , no ganaron !! 😂😂 re cargoso",negativo
Empezamos ganando como lo grandes que somos y terminamos como lo mal que veniamos jugando.,positivo
"8:04 Mati, Por las dudas ya salió a decir Di María que no pidió perdón nada, que estaba saludando a la familia nomás 🤣",negativo
"""Deja de toma mate"" se viene crossover? Jajaj",positivo
"Si ganaban lo subías ayer al vídeo, pecho frio 🥶",negativo
Me puse a mirar el video de vuelta y cortaron la parte donde marchesin hace el corner y mati lo putea jajajaja,negativo
"Figal:""hago mi papel en cada partido""sale expulsado",negativo
Se acabó la intro fantasma 😭🤣🙏😎,positivo
que equipo enorme,positivo
"""30 personas tincho te pasaste jajaja",negativo
soy yo o en el minuto 11:09 tincho se volvio chocolate jaja,negativo
Más chico que Facu festejando gol ajeno!!!,positivo
llegue más rápido que Otamendi al primer palo,positivo
Más rápido que Ander Herrera rompiéndose antes de los 20 minutos...,negativo
Facu:!!EL OTA EL OTA mientras Tincho alado:*aplaude,positivo
"""Este mundial de clubes será muy divertido""",positivo
11:39 la mufa intacta,negativo
VAMOS BOCAA VIEJO!!!! 🔵🟡🔵,positivo
Mas rápido que Herrera lesionado😅,negativo
"Hasta el mismo di maria dijo que no pidió disculpas, que solo estaba saludando a su familia 😂😂😂",positivo
Como se nos escapó lpm,negativo
"Yo creo el canal, pongo el mail todo, pero nunca me imaginé lo que iba a venir después",positivo
Resulta que estaba saludando a su familia y no pidiendo perdón JAJAJJS,negativo
Más rápido que Otamendi gritándole gol a Boca,positivo
Riquelme: lo importante no es competir sino divertirse,positivo
Este kai siempre que dice algo es tremendo mufa 😂,negativo
"Pobre perro, se quería ir😢😢",negativo
No caigo todavia,neutral
"1:00 La carita de Doha ""saquenme de aca, no aguanto mas este frio""  2:02 Se liberó Doha....",positivo
Más rápido que Figal haciéndose echar,positivo
Sin duda este formato de mundial con mata mata les favorece a los equipos chicos 😂😅,positivo
En el 2 gol de boca Facu y Tincho no sabía lo que estaba pasando JAJAJAJAJA,positivo
Va a ser un mundial divertido,positivo
"Riquelme: ""va a ser un año divertido 😊""",positivo
El video duro mas que Herrera en partido.,negativo
"Yo pongo el nombre, creo el canal",neutral
Por que quitaron la parte donde marchesin pierde la pelota? En las primeras vistas si estaba ahora que lo vuelvo a ver ya no está,negativo
Llenamos dice 😂😂😂😂😂  que cara duras,positivo
jajjaaj pensé q iban a poner al mantequín mandando la pelota al córner,positivo
De verdad cambiaron la intro de los videos? Quiero llorar ☹️,negativo
"jugaron como nunca, terminaron como siempre!!! 😂😂😂",negativo
Habia un clon de Mati en EE.UU JSJSJSJS 8:22,positivo
AJAJAAJAJA ayer cuando estaba viendo el partido tambien pense que era mati en la tribuna,positivo
literal enserio ❤😛❤️🤍❤️,positivo
Lo llenamos en todo lados?? 😂 Más vacía que mi casa jajajajaj,negativo
Primera vez que veo que Mati festeja goles de boca en dos años,positivo
"Mati pensé que habías ido a la cancha, en la transmisión de dazn unos segundos antes de que termine el primer tiempo aparecía alguien parecido a vos",positivo
"Lo alibiado que termino Facu , se le llenó la cola d preguntas ! Jajajaja q bronca Lpm",negativo
"lo quiero ver a burrontiel decia jajaja, gracias facu",positivo
Que grande Boca . Partidazo.,positivo
Que lindo es ver a Mati enojado.,positivo
Cuando estaba viendo el partido tambien dije que era mati el que estaba en la tribuna jajaj,positivo
No festejar antes de tiempo 😂,negativo
"Nunca creí que vería a un jugador que se lesione más que Gago, Ander perrera un diferente",negativo
juro que cuando vi en vivo pense q era mati ajajajajjaj es igual,positivo
Q lastima q no fueron a EEUU. Sería genial q reaccionen en la cancha,negativo
"El petiso de boca es un Boby bárbaro, aguante los displicente.",positivo
Mas rápido que las piernas de Herrera lesionándose,negativo
Va Hacer un año divertido Jajajajajajaja 😂😂😂,positivo
me sorprendió este boca jugó muy bien lástima que teníamos el partido ganado,negativo
"No jadas cerote 
Puro PSG 😂",negativo
"Bono es un crack, Al Hilal trae un equipazo que podría competir por títulos en cualquier liga top. 🔥🔥",positivo
"El Al Hilal lo aceptes o no ya tiene mucha experiencia jugando mundial de clubes, por eso no se achica contra campeones internacionales.",negativo
Septiembre de 2025... Viendo este resumen porque quise nuevamente recordar uno de los mejores partidos de fútbol de la historia (para mí y que yo he vistoen vivo),neutral
"haber visto esto con mi padre y con mi madre que a la que ni le gusta el fútbol, ha sido invaluable 🙏🏽",positivo
"De los mejores partidos de la historia. Sin duda, el mejor del mundial de clubes",positivo
"No pues con razón a Cristiano se le complica en aquella liga, estos vatos si traen.",positivo
"Ya entendí porque a Cristiano Ronaldo se le hace tan difícil ganar la Liga Saudi, lo que juega este equipo 😲.",positivo
"9:28 la definición de lo que le hizo el Al-Hilal al City la hizo este aficionado, un crack este men",positivo
من سوريا مبروك الفوز لنادي الهلال بالتوفيق في المباريات القادمه ⚽️🎉,positivo
"Viendo denuevo este partido en 2026, uno de los mejores partidos que yo e visto en vivo, lo que paro Bounou ese dia fue descomunal y siempre recordaremos a DAZN por transmitir todo el mundial de clubes",positivo
Al hilal Saudi Arabia 🎉👍🇸🇦,positivo
Que partidazo de Bono 😮,negativo
02:01 claro ejemplo de nunca rendirse,positivo
Sorpresa??? Es un equipaso Al Hilal...y lo demostró,negativo
Por favor un minuto de silencio para los que no pudieron ver lo que hasta hoy ha sido el mejor partido del mundial de clubes...PAR-TI-DA-ZO!!!!!,positivo
"El partido se resume en: 

el show de Bono",negativo
"Al Hilal deserves to win. They gave a world-class performance. They have big names in the squad, and they also have a top-level goalkeeper.",positivo
Se rieron de mi comandante cuando dijo que los equipos arabes le podian competir a los europeos..,negativo
Malcom papeoandose al City de Guardiola y Lamine y Raphinha en su casa intentnado vencer a Al-Shofa que bonito es el fútbol 😂😂😂😂😂,positivo
"I guess,Cristiano Ronaldo's efforts of inspiring and promoting Football in Saudi Arabia,are really paying off big time!Well done Al Hilal!Make CR7 very proud of you!",positivo
"Gracias Al Hilal por regalarnos tremendo partidazo, la FIFA ya no te quiere, igual.",positivo
Congratz al hilal and simone inzaghi ❤❤❤,positivo
"Hasta viendo el resumen, es un partidazo. Fútbol. Bono, top. Árbitro y VAR cuestionables.",negativo
"El fútbol no se juega con solo buenos jugadores y bien pagados, se gana con el corazón, el carácter, el deseó firme ... Cualquier adjetivo que se use para describir un luchador.",positivo
"أنا لازلت عالق هنا 🙌🏻

يا كبير يا الهلال يا فخر آسيا ويا فخر المملكة 🇸🇦",positivo
Le dieron un bono al  manchester para que vuelva a casa 😂😂😂😂😂,negativo
"Al hilal,jugo muy bien,logró tener buen juego y los jóvenes brasileños fueron brutales en juego",positivo
Me da tanta risa escuchar a los argentinos decir que Martinez está en el top 5 de mejores porteros del mundo 😂😂😂. Según su lógica Bono debería estar en el top 3 entonces.,negativo
"فرحت من جميع جوارحي للانتصار للفريق العربي الشقيق.
أخوكم في الله من المغرب",positivo
"Congratulations Al Hilal👏👏 now we gonna face each other, with all respect from 🇧🇷",positivo
"Al Hilal is a very good team, good players, good manager, glad to see a surprise like this one at the tournament.",positivo
Que tremendo Comeback!! Que lindo q viva el Futbol!! Grande Al Hilal!! David tumbo a Goliath! 🏆🥳,positivo
"تحيه للهلال ولكل الشعب السعودي 
مبروك",positivo
"Cuando uno ve estos partidos exclama sin dudas alguna., Que viva el fútbol!",positivo
"Triunfo merecido,tremendo equipazo de Al Hilal❤😊",positivo
suddenly it dont seem so strange that madrid got a draw vs al hilal. respect to them. al hilal actually play some good ball. congrats on the win.,positivo
"Te quiero muchísimo al-hilal, gracias por salvar el fútbol ❤❤",positivo
Hermosa victoria demostraron su nivel,positivo
No me canso de ver esté partido,positivo
"الواحد مش مصدق اقسم بالله 🤣🤣 ملحمة كروية عظيمة من نادي الهلال الزعيم السعودي اللي شرف العرب كلهم 

تفوز ع السيتي وجوارديولا 3/4 وتصعد ربع نهائي كاس عالم بعد 120 دقيقه ،، لو قبل البطولة قولت لحد انا بتوقع كده كان يتهمك بالجنون 😲😳

براڤوو براڤوو براڤوو 💙💙👏👏🔥🔥",positivo
Digno de final para este gran torneo...que ah sido hasta el momento muy muy bueno...,positivo
Ese Bono es un gran portero!,positivo
9:27 celebración épica del aficionado,positivo
Para ganar un poderoso City necesitas un lider y gran portero como Bono 🎉🎉,positivo
"muchos criticaban al Madrid cuando empato 1-1  por fallar el penalti Valverde , pero es que el Al-Hilal juegan muy bien al futbol y ahora se dan cuenta el por que solo el Madrid empato solo 1-1",positivo
ألف ألف ألف مبروووك للهلال السعودي زعيم قارة آسيا في بطولة كأس العالم للأندية 😂😂😂😂😂😂,positivo
European who once laughed at ronaldo 😂 now crying 😂😭😭 and realising that he was right.  Because real Madrid and man city both are top teams of Europe.,negativo
"Buen equipo, ordenado en defensa, contragolpe letal, y Bono un arquero descomunal. 👍🙏🤓😍🇨🇴",positivo
"Esta equipa é a que faz sempre o dobro do que a equipa do CR7 na liga. O Al-Hilal é mais completo do que qualquer outra equipa daquela liga, e não é à toa que tem mais títulos.",positivo
Nmms se la voló la FIFA con ese torneo que chingón está,positivo
yo lo dije desde que empato contra el madrid digo cuidao que estos juegan bien y yo lo sabia q no iba a ser facil ganarle al al hilal,positivo
Mi segundo equipo favorito es el Al Hilal despues del Real Madrid ahora se que no me fallan ambos ❤,positivo
😮quel super gardien 😮,positivo
"Dicen que al hilal sus jugadores son extranjeros y se olvidas de que el man city solo ha participado un inglés y al hilal 8 de Arabia . 
La misma historia de marruecos en 2022 para tapar sus fracasos 😂",negativo
Yassine bono😮😮,positivo
"Best GK in the world is Boono Yasin 
Respect to Blue power congratulations Boys 💙💙✊🫡",positivo
"Muchos dicen que lo perdió city, yo pienso que lo ganó el equipo de Arabia, con corazón y pulmones increíbles, dieron su mejor partido no de la temporada de su vida ...",positivo
Que partidazo!! Que juegaazo!!! El mejor del 2025,positivo
Bono fue la figura del partido!! PEp debe tomarse unas vacaciones ya,negativo
What a game between these two arabian's clubs 🗿,neutral
Partidazo. Bono está a otro nivel.,positivo
Lo de Bono es una locura!!!,negativo
Se lo merece saudi 🤘🤘🤘💯🇵🇦🙏🫂,positivo
Pep Guardiola ahora busca ser tecnico de un equipo de Arabia !!! 😂,negativo
"Simplemente hermoso el partido, estos partidos son los que te hacen amar este deporte y te dan fé al momento de alentar tu club, Al hilad acabo con uno de los maximos candidatos a ganar el torneo siendo menos.",positivo
আল হিলাল ❤❤,positivo
برهن الهلال على انه من اقوى الفرق العالمية يستحق استمتعنا بكرة قدم التيكي تاكا تحياتي لأشقائنا في المملكة السعودية 🇸🇦 اخوكم من المملكة المغربية 🇲🇦,positivo
El mejor partido de todo el mundial de clubes sin duda,positivo
Al hilal made man city so powerless and that shows that Arabian league is top notch,positivo
"Gran triunfo del equipo árabe, la actuación de su portero fue clave, salvo dos goles hechos.",positivo
El pase para el segundo gol del al hilal es una obra de arte,positivo
09:26 tremenda celebración del fanatico,positivo
Grande bono esta entre los mejores 5 arqueros actuales del mundo. Ultra infravalorado.,positivo
El mejor partido del mundial hasta ahora,positivo
Bono ❤ has echo buen partido,positivo
Una carta de amor al futbol,positivo
"Que aburrido es el fútbol hoy en día ,pero este se lleva el 1er lugar",negativo
Que buen portero ❤,positivo
نفتخر فيكم يا مشرف الوطن والكرة السعودية  في المحافل العالمية,positivo
Tenía toda la razón como siempre el Dios del fútbol CR7 ❤❤,positivo
"CR7 nunca mintió, la liga arabe tiene su nivel",positivo
"Ahora qué, parece que no son tan malos después de todo",negativo
Este mundial promete superar al mundial de selecciones ...,positivo
AMAZING AL HILAL WIN AGAINTS MANCHESTER CITY WOW SUBHANALLAH ALLAGU AKBAR🇮🇩😍✌️💞🕋,positivo
"Hoy el  Al  Hilal   dio una  demostración  de un fútbol  espectacular  derrotando a un manchester  City  que juego un fútbol  ya caducado   por pep guardiola .
Tienen pinta de campeones",positivo
"En el primer tiempo se confio demasiado el city y fallo las que tenia ""faciles"" en el segundo tiempo al hilal sslio con la confianza hasta oas nubes viendo que podia dar pelea.",negativo
Dejaron un gran mundialito de Clubes,positivo
مبروك لنادي الهلال من مشجع نصراوي يستاهلون ممثل العرب والمملكة وآسيا,positivo
"GIGANTE, TITÁNICO EL AL HILAL JAJA",positivo
Bono es un seguro de vida en todos los partidos.gano bono al city es la inmensa verdad.grande bobo grande al hilal,negativo
I LOVE YOU AL-HILAL 💙💙💙,positivo
Que partidazo,positivo
Bono el mejor portero del mundo,positivo
Al Hilal💪💪🔥💙💙💙💙💙,positivo
عز يالهلال 💙💙,positivo
"Este equipo es bueno, recuerden que hace años atrás, elimino al  at Mineiro e impidió que Ronaldinho llegará a la final del torneo de clubes!",positivo
"Lo único que no me gusta del resumen es que no dejan la celebración completa cuando meten gol , la cortan y ponen la repetición del gol es una lástima 😢",negativo
هل تأكدتم اليوم يا أوروبيين من صحة كلام رونالدو بقوة المُنافسة بالدوري السعودي ؟؟؟ لقد تعلمتم ذلك في الملعب وعلى طريقتكم بفوز من كنتم تعتقدون بأنه أضعف منكم انتصر عليكم 👍,negativo
inzagi good coach i love him,positivo
"“Go to bed early and stop making excuses, my little one. The quality of Saudi teams gives you lessons — just like we did with the world champion, Argentina, who only lost in the World Cup to the Saudi national team. Too many excuses lead to failure. 🇸🇦💙”",negativo
"this match gave us so many moments. That World class save from Bono, the fans celebration after leonardo's winner and the upset by Al-Hilal.",positivo
😂😂😂😂😂 🎉 que buena notícia para iniciar el dia.,positivo
"This video was amazing, learned a lot.",neutral
Al Hilal....Tiene Mucha Suerte de Tener un portero Top #1 !!!Bono  Mano De Oro!!!🎉🎉🎉🎉,positivo
el partido del año... totalmente!!! que brutal partidazooooo!!,positivo
"Al Hilal esta infravalorado casi nadie los conoce y haciendo unos partidazos a equipos top de Europa, Al Hilal deberia juegar en una liga Europea tienen nivel para el mejor futbol del mundo.",positivo
Great video! Really enjoyed it.,neutral
El portero del Manchester City es una madre.,negativo
Wooow el futbol es un arte inesperado,positivo
"Los equipos en otras ligas esta creciendo Brasil, México, rabia la única que retrocede es la Argentina pero bravo por estos equipos que están echando a los grandes de Europa",negativo
"Bono el ""bono de hierro"" no falló, paró el 99% de los misiles, el fútbol es hermosisimo",positivo
Bono es el mejor 🎉🎉❤🇲🇦,positivo
2:07 la atajada del siglo,positivo
Al Hilal is the king and leader of Asia 🤍💙,positivo
4to gol y la mejor celebración de un aficionado,positivo
Partidazo!!!!,positivo
La celebración del aficionado del Al Hilal en el último gol 🤣🤣🤣🤣🤣🤣,positivo
Bendito mundial de clubes 🐣✨,positivo
La liga de Arabia es más difícil que la de Menssi,negativo
que partidazo 🥂 grande bono,positivo
3:41 que simbolo que queda ahi en ese giro cuando desaparece el zocalo del marcador. . . Símbolo polémico para poner. Pero bueno detalles. .,positivo
Que buenos relatores!,positivo
Bonu superhero 💪🫡,positivo
"Loved the content, keep it coming!",positivo
No doubts why Ronaldo prefers Saudi league over MLS,negativo
"Un arquero sin ganas de tapar,indeciso y entregado",negativo
hoy gano el futbol y perdio el marketing de messi,positivo
"Gracias x el resumen, el portero del City todo los rebotes los dejo en el área chica. Saludos desde Costa Rica ❤",positivo
BONO HA DEMOSTRADO SER DE LOS MEJORES ARQUEROS DEL MUNDO Y LO DEMOSTRO EN EL MUNDIAL PASADO TAMBIÉN,positivo
"Going like this,Al Hilal is going to win this World Club Cup!When we are connected to CR7,any impossible can be possible just and only by Thinking about Him!",positivo
no soporto el grito de gol del comentaristaa madre mia,negativo
La liga árabe presente aún en el mundial después de todo no son malos,positivo
"Vine por Nacho ""el máster"" González, no decepciona nunca",positivo
bono el mejor,positivo
ياعيييوني يامشرف الوطن💙💙💙💙💙💙,positivo
Vaya partidito de Ederson 🤦🏻,negativo
Bono portero infravalorado ☝🏻🗿,positivo
هل تعلم ب ان الهلال في اضعف مواسمه حيث لم يحقق اي لقب محلي بالاضافه الى غياب  المهاجمين الاساسيين بسبب الاصابه,negativo
"Eso eso nunca se chingan los rivales, todos los rivales son fuertes",negativo
Al Hilal 💪🏽💪🏽💪🏽💪🏽💪🏽,positivo
"This was super helpful, thanks!",positivo
esto si que ha sido la GRAN SORPRESA DEL MUNDIAL !!!!!!!!,positivo
"This was exactly what I needed, thanks!",positivo
La UEFA no será igual cuando un equipo no euro sea semifinalista.,negativo
BONO el mejor,positivo
Que arquero tiene el equipo saudi,negativo
Jajajajajaja europa quedas expuesto,negativo
minuto 1 con 7 segundos gol de mano de manchester city,negativo
"¡ Partidazo !
Demostración de valentía de Al Hilal, no sé si es la mejoría en el fútbol árabe o la mano de Filipo Inzagui  en el plantel.",positivo
El partidazo de bono es otra cosa,positivo
"Inzagui demostrando que es un entrenador especial  ya elimino al barsa de la champions y ahora al Manchester, valentia de los jugadores del al hilal y deja en entredicho al fútbol Europeo ya no hay tanta diferencia",positivo
That Leonardo guy was too good,positivo
Ederson igualmente creo q no tiene nivel para ser portero del city,negativo
D pelicula para la historia,positivo
Nacho González que grande,positivo
