texto,etiqueta
"Hotel antiguo , desayuno malo , limpieza mal",negativo
Las habitaciones eran viejas y muy calurosas .,negativo
Gran ubicacion perfecto,positivo
"Buena estancia , viaje de trabajo se descansa bien",positivo
Todo perfecto .,positivo
"El coche lo deje en el parking , por ser del club playa vip hacen descuento , no es necesario ir en coche para ver la ciudad .",positivo
"Me sorprendió que en el hotel no se oye absolutamente nada , ni la autovía ni el aeropuerto realmente se puede descansar .",positivo
"El check · in y check · out muy rápidos , ya que soy cliente de otras ocasiones .",positivo
"Las habitaciones son amplias , modernas , funcionales , con pantallas de planas en todas las habitaciones , caja de seguridad , carta de almohadas .",positivo
La habitación era muy grande y el baño enorme .,positivo
Hola fuimos con una reserva de 5 dias con pensión completa ( pagado por anticipado ) y al cuarto nos fuimos ya no aguantamos más .,negativo
Las parcelas son amplias y con mucha sombra .,positivo
Elegancia .,positivo
Hotel alejado del centro,negativo
Un poco viejo en las zonas comunes,negativo
Excelencia con alternativas,positivo
Es un hotel muy relajante sobre todo si vas al spa que es muy grande y la decoración espectacular .,positivo
Todo el personal fue súper amable .,positivo
Gracias !,positivo
Muchísima variedad en la bollería .,positivo
"El hotel está situado al lado del Camp Nou y muy cerquita de una boca de metro y frente a una parada de autobús , por si no se quiere coger el coche .",positivo
"El entorno no tiene nada para destacar , al igual que el hotel .",negativo
"Ha estado muy bien , ha sido uno de los mejores hoteles en que he estado .. no se si hay otros hoteles asi , lo mejor es ir alli y ver lo que hay , pero os aseguro que esta muy pero que muy bien , Un ",positivo
Muy buena opción .,positivo
El desayuno bastante flojo .,negativo
Para repetir .,positivo
"El personal es fantástico , muy servicial y atento a todas las necesidades que tuvimos durante la visita .",positivo
"Las habitaciones muy completas y disponen gratuitamente de caja fuerte , minibar , servicio de plancha etc ...",positivo
"La casa es un antiguo molino reformado , rodeado de vegetación y apartado de cualquier ruido en plena naturaleza .",positivo
"este camping carece de las medidas de seguridad apropiadas , nos robaron una bici y encima casi te sentias culpable por parte de la recpecion.NO llamaron a la guardia civil y fuimos nosotros hasta el ",negativo
El hotel está muy bien comunicado con el metro .,positivo
Hotel estupendisimo en Valencia,positivo
Estuvimos 3 amigas y fue todo perfecto .,positivo
Muy bien todo,positivo
"Excelente estadía , un gran complejo .",positivo
"En definitiva , que salimos contentos de nuestra estancia .",positivo
Las habitaciones son grandes con cama buena y baño grande .,positivo
"No vayan , Decameron de Panamá ya no es bueno",negativo
Los de recepción te aconsejan un poco sobre donde ir y que linea de metro o de bus coger para ir a los destinos .,positivo
Inútil reclamar .,negativo
"Las sábanas , mantas y decoración de la cama muy guapo .",positivo
"Gracias por todo , volveremos y lo recomendaremos a nuestros amigos .",positivo
"Desde el hotel se puede ver el Camp Nou , con lo cual si eres aficionado puedes alojarte e ir a pie en 5 minutos .",positivo
"soy cliente de esta cadena 16 años siempre estado muy contenta pero este año no al llegar ala habitación el suelo estaba sucio el mando de la cama estropeado lo comente en recepción no vino nadie , el",negativo
"Si buscas un hotel para hacer actividades a través de él , o para ver cena con espectáculos , o quedarte todo el día dentro ... no es tu hotel , porque no tiene ese tipo de instalaciones .",negativo
Acogedor y céntrico,positivo
La ocupación era bajisima .,negativo
Impresionados con las mejoras que se han hecho de un año para otro .,positivo
El hotel ha sufrido una reforma en el último año .,positivo
"Buen servicio , todo muy limpio y cómodo .",positivo
Volveria,positivo
Genial .,positivo
"Bueno el hotel no era malo , estaba limpio y bien",positivo
Tiene muy buena combinación para conocer cualquier parte de Barcelona en transpote público .,positivo
Limpio y las camas confortables.Su ubicacion para acceder al centro es muy buena .,positivo
Nos ha gustado mucho y lo recomendariamos sin duda alguna .,positivo
"Las habitaciones son bonitas , amplias y todo el hotel esta muy limpio , todo impecable .",positivo
Tuvieron con nosotros el detalle de una botella de cava .... siguen cuidando los detalles en esta cadena .,positivo
Había una caja fuerte en el armario sin cargo .,positivo
os la la recomiendo a todas las personas q se pasen por la ciudad es grande y muy calida bueno espero aver ayudado,positivo
Buen sitio,positivo
"Lo que menos me gustó es que pese a ser de cuatro estrellas , tenía muchas carencias , por ejemplo , no disponía de piscina .",negativo
"Muy correcto en todos los aspectos , muy limpio , tiene detalles que agradan , como el mini · bar gratuito ( bebidas no alcoholicas ) y el calienta liquidos de la habitacion para que te puedas hacer c",positivo
"La playa está a menos de 1 minutos andando , y la calle principal donde hay tiendas , restaurantes , pubs y discotecas también está al lado .",positivo
Opción barata para Las Vegas,positivo
"Habíamos alquilado una suite pensando pasarlo bién por la noche en el saloncito por lo menos , porque el hotel era más una pension que un hotel .",negativo
En general muy bueno y el barrio donde esta situado es un barrio amable sencillo y de buenas costumbres .,positivo
"El desayuno nos pareció caro , entonces como recomendación mejor salir a descubrir los bares alrededor y gastar lo mismo en comida típica madrilena .",negativo
"La ubicación es muy buena si vamos de negocios , pues está muy cerca del Forum y además tiene una parada de metro cercana que te conecta con el centro de Barcelona en 20 o 30 minutos .",positivo
"El hotel muy céntrico , en plena Gran Vía madrileña , con acceso a pie a los rincones más pintorescos de Madrid .",positivo
"Las habitaciones son agradables , limpias y bastante amplias .",positivo
Si tuviera que ponerle una nota le pondría un 9 y les recomiendo este hotel. si tengo que volver por allí no dudaré en repetir,positivo
"Zona tranquila y bien comunicado , muchos servicios y comodidades , el trato personal excelente , habitaciones confortables con Wifi , minibar gratuito , cafetera etc ...",positivo
"Hotel comodo y confortable.El personal es muy amable , siempre dispuesto a ayudarnos ante cualquier consulta o necesidad .",positivo
Todo maravilloso .,positivo
Algo a tener en cuenta es que disponen de un parking vigilado a la vuelta de la esquina del hotel por 24 euros al dia,positivo
"Para empezar os diré que por ser socio del club playavip me ofrecieron una habitación con terraza con magníficas vistas a Gran Via , además nos dieron una entrada gratuita al spa .",positivo
"Muy amables y simpaticos , bastante limpio todo .",positivo
"Realmente lo recomiendo ,",positivo
"Excelente ubicación en el centro Madrid , a 5 minutos andando de la Plaza del Sol y pegado a la parada de Metro de la Línea 5 , Gran Vía .",positivo
Es la feria,negativo
Excelente en todos los aspectos .,positivo
Esta en las afueras de Siena pero sin estar lejos .,positivo
"El hotel es ideal para trabajo , y para pasar un fin de semana .",positivo
Personal agradable y profesional .,positivo
Hotel en mal estado en las instalaciones y rooms .,negativo
"La piscina es estupenda , y no conozco ninguna con mejores vistas .",positivo
"Las instalaciones son muy buenas , hay prácticamente de todo en el hotel , spa , piscinas , zona de ocio con billares , futbolines , juegos para los niños , bar , orquesta , baile , peluquería .... El",positivo
"La habitacion que nos dieron no me acabo de convencer , estoy acostumbrado a usar hoteles Marriott ( y Courtyard por supuesto ) y este quiza sea el mas cutre de todos los que haya ido",negativo
Los electrodomésticos muy modernos y el mobiliario también y nos ha encantado ya que venía con cocina incluída y teníamos una mayor libertad a la hora de comprar .,positivo
Para los niños nos pusieron una cama supletoria grande y aun así quedaba mucho espacio .,positivo
Es la segunda vez que nos alojamos en él por su cercanía con la estación del ave y de la ciudad de las artes y las ciencias .,positivo
"Los restaurantes temáticos son un desastre , y has de perder horas para reservar .",negativo
"Un hotel muy bonito , adecuado para pasar las vacaciones , viajes de novios o ir con la familia.Te tratan estupendamente bien , las habitaciones y la vista son preciosas y hay multitud de posibilidade",positivo
"El hotel está super bien situado , en el centro de la ciudad y te da opción a disfrutar del teatro , compras y bares de tapas .",positivo
Los empleados son en su mayoría bilingües lo que hace que la enstancia en el hotel sea mas que practica .,positivo
Peor trato imposible,negativo
"Acudimos al Spa , cortesía del hotel , y disfrutamos de una mañana agradable , después de una larga jornada pateando Barcelona .",positivo
"Lo mejor , las vistas desde la azotea , donde se encuentra la piscina , espectaculares .",positivo
"Hay un bingo donde se puede cenar barato , un mcdonald ' s y una especie de mercadillo también bastante cercanos .",positivo
La gente es muy amable y atenta .,positivo
"Continuan con los detalles como minibar gratuito , servicio de cafe en la habitacion , invitacion al spa por ser cliente repetitivo .",positivo
Tambien a la estacion de trenes .,positivo
Hotel bastante simple .,negativo
Hotel Genial,positivo
"Se puede llegar caminando desde la parada de Urgell del autobus del aeropuerto ( unos 10 minutos ) , por lo que resulta de fácil acceso .",positivo
También hay varios autobuses que salen desde la plaza de Gambetta para llegar al centro y a las atracciones más importantes de Paris .,positivo
"Formidable , tienen que visitarlo",positivo
El personal es muy agradabe y el spa estupendo .,positivo
Enhorabuena a la cadena Playa Senator por la adquisición .,positivo
Muy limpio y con cama cómodas .,positivo
Las habitaciones son muy grandes tienen sofá · relax y buena iluminación .,positivo
Una estafa,negativo
